ANMOIS,APT,FSC,ZON,CAT,MVT,PAX,PEQ,CO2,NOX,COVNM,TSP,annee,mois
200001,LFBD,LC,I,B,4,561,561,0.004,0.021,0.001,0.001,2000,01
200001,LFBD,LC,I,C,25,2923,4783,0.058,0.287,0.169,0.009,2000,01
200001,LFBD,MC,I,A,525,14521,14611,0.084,0.236,0.086,0.013,2000,01
200001,LFBD,MC,I,B,298,14039,15778,0.137,0.473,0.084,0.022,2000,01
200001,LFBD,MC,I,C,25,0,1958,0.078,0.373,0.109,0.012,2000,01
200001,LFBD,LC,O,C,7,1222,1222,0.025,0.157,0.049,0.004,2000,01
200001,LFBD,CC,M,A,31,1614,1614,0.000,0.000,0.000,0.000,2000,01
200001,LFBD,CC,M,B,1384,129192,138101,1.173,4.990,0.242,0.186,2000,01
200001,LFBD,CC,M,C,11,1350,1350,0.031,0.210,0.056,0.005,2000,01
200001,LFBD,CC,M,A,1297,26253,26895,0.360,1.090,0.288,0.057,2000,01
200001,LFBD,CC,M,B,409,26772,28403,0.413,1.412,0.102,0.066,2000,01
200001,LFBD,CC,M,C,23,1342,2077,0.058,0.331,0.109,0.009,2000,01
200001,LFBO,LC,I,A,2,8,8,0.000,0.000,0.000,0.000,2000,01
200001,LFBO,LC,I,B,18,2862,2863,0.019,0.100,0.005,0.003,2000,01
200001,LFBO,MC,I,A,1214,34606,35436,0.157,0.375,0.220,0.025,2000,01
200001,LFBO,MC,I,B,712,57794,58336,0.569,2.497,0.193,0.090,2000,01
200001,LFBO,MC,I,C,134,20474,26379,0.256,1.477,0.077,0.041,2000,01
200001,LFBO,LC,O,C,33,9012,9243,0.110,0.689,0.154,0.017,2000,01
200001,LFBO,CC,M,A,99,938,4269,0.009,0.016,0.016,0.001,2000,01
200001,LFBO,CC,M,B,2698,244021,253956,2.263,9.529,0.637,0.359,2000,01
200001,LFBO,CC,M,C,90,2348,15972,0.193,1.092,0.059,0.031,2000,01
200001,LFBO,CC,M,A,1958,45168,45665,0.433,1.193,0.466,0.069,2000,01
200001,LFBO,CC,M,B,298,15468,18326,0.177,0.654,0.069,0.028,2000,01
200001,LFBO,CC,M,C,46,2946,6444,0.103,0.567,0.156,0.016,2000,01
200001,LFLL,LC,I,A,1,306,309,0.000,0.000,0.000,0.000,2000,01
200001,LFLL,LC,I,B,2,213,213,0.002,0.010,0.000,0.000,2000,01
200001,LFLL,LC,I,C,15,2959,3024,0.038,0.209,0.057,0.006,2000,01
200001,LFLL,MC,I,A,3101,72420,74788,0.797,1.916,0.599,0.126,2000,01
200001,LFLL,MC,I,B,1651,109348,118720,1.635,5.972,0.677,0.260,2000,01
200001,LFLL,MC,I,C,275,48298,48468,0.548,3.035,0.280,0.087,2000,01
200001,LFLL,LC,O,C,33,9341,9943,0.112,0.673,0.193,0.018,2000,01
200001,LFLL,CC,M,A,19,124,172,0.002,0.004,0.004,0.000,2000,01
200001,LFLL,CC,M,B,797,62621,69208,0.823,3.087,0.247,0.131,2000,01
200001,LFLL,CC,M,C,42,2907,6707,0.096,0.594,0.077,0.015,2000,01
200001,LFLL,CC,M,A,2784,64326,66196,0.652,1.804,0.962,0.103,2000,01
200001,LFLL,CC,M,B,1218,78911,82029,0.864,2.954,0.292,0.137,2000,01
200001,LFLL,CC,M,C,19,2135,2321,0.050,0.316,0.093,0.008,2000,01
200001,LFML,LC,I,B,46,5525,5525,0.052,0.228,0.020,0.008,2000,01
200001,LFML,LC,I,C,47,4534,11193,0.138,0.627,0.550,0.022,2000,01
200001,LFML,MC,I,A,1391,32184,32644,0.380,0.952,0.418,0.060,2000,01
200001,LFML,MC,I,B,903,68691,70905,0.901,3.186,0.455,0.143,2000,01
200001,LFML,MC,I,C,123,10018,11532,0.248,1.219,0.230,0.039,2000,01
200001,LFML,LC,O,C,32,8684,8893,0.095,0.484,0.083,0.015,2000,01
200001,LFML,CC,M,A,55,3661,3908,0.000,0.000,0.000,0.000,2000,01
200001,LFML,CC,M,B,2471,242226,260911,2.606,10.696,0.826,0.414,2000,01
200001,LFML,CC,M,C,73,5239,11915,0.202,1.104,0.149,0.032,2000,01
200001,LFML,CC,M,A,1569,39603,43820,0.382,0.968,0.571,0.061,2000,01
200001,LFML,CC,M,B,833,47602,56975,0.447,1.566,0.229,0.071,2000,01
200001,LFML,CC,M,C,86,5480,8083,0.216,1.371,0.262,0.034,2000,01
200001,LFMN,LC,I,A,1,0,0,0.001,0.002,0.000,0.000,2000,01
200001,LFMN,LC,I,C,60,7744,9901,0.165,0.960,0.072,0.026,2000,01
200001,LFMN,MC,I,A,6005,69378,69884,1.118,2.692,2.373,0.177,2000,01
200001,LFMN,MC,I,B,1794,123819,126580,1.796,6.717,0.682,0.285,2000,01
200001,LFMN,MC,I,C,273,28289,29713,0.537,3.586,0.068,0.085,2000,01
200001,LFMN,LC,O,C,3,896,896,0.006,0.016,0.001,0.001,2000,01
200001,LFMN,CC,M,A,34,1800,1800,0.000,0.000,0.000,0.000,2000,01
200001,LFMN,CC,M,B,2487,251341,257941,2.489,11.132,0.730,0.395,2000,01
200001,LFMN,CC,M,C,17,2842,2842,0.057,0.353,0.014,0.009,2000,01
200001,LFMN,CC,M,A,3587,84918,86489,0.991,2.591,1.406,0.157,2000,01
200001,LFMN,CC,M,B,147,7648,7688,0.018,0.077,0.008,0.003,2000,01
200001,LFMN,CC,M,C,2,0,0,0.009,0.055,0.001,0.001,2000,01
