ANMOIS,DEP,ARR,PC15_D,PC15_A,RETARD_D,RETARD_A,annee,mois
201209,LEBL,LFSB,,0.101,,4.7,2012,09
201209,LEBL,LFLL,,0.087,,5.0,2012,09
201209,LEBL,LFMN,,0.129,,8.6,2012,09
201209,LEBL,LFPG,,0.096,,5.7,2012,09
201209,LEBL,LFST,,0.000,,2.9,2012,09
201209,LEBL,LFRS,,0.091,,5.7,2012,09
201209,LEBL,LFBD,,0.261,,11.8,2012,09
201209,LEBL,LFML,,0.048,,5.9,2012,09
201209,LEBL,LFBO,,0.231,,7.8,2012,09
201209,LEBL,LFPO,,0.233,,11.1,2012,09
201209,LEBL,LFOB,,0.067,,3.4,2012,09
201209,LFSB,EKCH,0.069,,3.4,,2012,09
201209,LFSB,EDDH,0.032,,2.7,,2012,09
201209,LFSB,EGLC,0.089,,6.8,,2012,09
201209,LFSB,LIRF,0.146,,12.1,,2012,09
201209,LFSB,LFLL,0.071,0.095,4.6,4.2,2012,09
201209,LFSB,LKPR,0.182,,8.2,,2012,09
201209,LFSB,LEBL,0.124,,6.2,,2012,09
201209,LFSB,LFMN,0.188,0.125,8.0,7.6,2012,09
201209,LFSB,LFPG,0.087,0.096,4.2,3.9,2012,09
201209,LFSB,GCTS,0.118,,29.8,,2012,09
201209,LFSB,LFRS,0.077,0.077,5.5,4.6,2012,09
201209,LFSB,LFBD,0.080,0.080,3.8,2.4,2012,09
201209,LFSB,EHAM,0.071,,9.8,,2012,09
201209,LFSB,LIPZ,0.308,,20.3,,2012,09
201209,LFSB,LFBO,0.085,0.085,8.0,7.6,2012,09
201209,LFSB,EDDL,0.161,,8.5,,2012,09
201209,LFSB,LFKJ,0.100,0.400,7.2,8.7,2012,09
201209,LFSB,LPPT,0.000,,0.8,,2012,09
201209,LFSB,LFPO,0.055,0.079,3.6,3.6,2012,09
201209,LFSB,LIRN,0.333,,15.2,,2012,09
201209,LFSB,EGKK,0.113,,9.5,,2012,09
201209,LFSB,EDDB,0.111,,8.5,,2012,09
201209,LFSB,LEMD,0.267,,14.5,,2012,09
201209,LFSB,EGPH,0.176,,8.5,,2012,09
201209,LFSB,LPPR,0.115,,13.5,,2012,09
201209,LFSB,LOWW,0.160,,6.4,,2012,09
201209,LFSB,GMMN,0.545,,17.5,,2012,09
201209,LFSB,GMMX,0.154,,9.1,,2012,09
201209,LFSB,LEMG,0.118,,10.5,,2012,09
201209,LFSB,EDDM,0.069,,5.5,,2012,09
201209,LFSB,LEIB,0.300,,13.6,,2012,09
201209,LFSB,LTFJ,0.129,,5.0,,2012,09
201209,LFSB,LEPA,0.143,,9.8,,2012,09
201209,LFSB,LGIR,0.136,,9.5,,2012,09
201209,LFSB,LEAL,0.000,,1.0,,2012,09
201209,LFSB,EDDC,0.118,,9.1,,2012,09
201209,LFSB,BKPR,0.370,,18.5,,2012,09
201209,LFSB,EDDF,0.093,,4.7,,2012,09
201209,LFSB,EGLL,0.089,,4.9,,2012,09
201209,LFSB,LTAI,0.059,,22.3,,2012,09
201209,LFSB,LLBG,0.000,,2.3,,2012,09
201209,LFSB,DABC,0.471,,19.7,,2012,09
201209,LFSB,GCLP,0.053,,4.5,,2012,09
201209,LFSB,LTBA,0.324,,13.2,,2012,09
201209,EGLC,LFSB,,0.128,,5.6,2012,09
201209,EGLC,LFMN,,0.133,,10.2,2012,09
201209,EGLC,LFRS,,0.100,,5.0,2012,09
201209,EGLC,LFPO,,0.136,,7.8,2012,09
201209,EDDH,LFSB,,0.053,,2.3,2012,09
201209,EDDH,LFMN,,0.167,,7.9,2012,09
201209,EDDH,LFPG,,0.103,,4.7,2012,09
201209,EDDH,LFML,,0.143,,8.4,2012,09
201209,EDDH,LFBO,,0.118,,3.6,2012,09
201209,LIRF,LFSB,,0.188,,13.1,2012,09
